Unique ID,Parent ID,Depth,Username,Post Karma,Comment Karma,Achievements (Flair),Number of Awards,Comment,Upvotes,Timestamp (UTC)
1,,0,hega72,333,3538,None,0,"Chatgpt is way more social than stackoverflow. More often then not you run into some arrogant senior on SO that doesn’t wanna help but rather tell you what an idiot you are. 
The overall experience of chatgpt is way superior than SO from my experience. More helpful. Much more polite",56,2023-01-22 23:46:24
2,1,1,YearningConnection,44,39382,None,0,THIS! Fucking snobs all the time on SO.,21,2023-01-23 01:31:39
3,2,2,_cobaltinferno_,1,57,None,0,"I'm not here to defend people on stackoverflow who go out of their way to be an asshole, but generally, stupid questions attract assholes there.

Obviously someone new to a topic wont definitively know if their question is stupid, so its not uncommon to find people jumping on their question. 

But, when good questions are asked, its very rare to get someone there being an asshole for no reason.",1,2023-01-23 14:36:51
4,3,3,ta2025,164,1580,None,0,People should NEVER be assholes.  If you are annoyed by the question then simply don’t answer!,6,2023-01-23 17:58:02
5,3,3,Ok-Papaya-3490,208,8728,None,0,"> stupid questions attract assholes there

1. There are no stupid questions. We all start somewhere. 
2. Stack Overflow post that asks someone to Google with no real input ending up on 1st post on Google is so common that it has become a meme. On top of that, someone passive aggressively marking a question as a duplicate when it's a totally different question is also very common. 
3. Problem is that the definition of ""good question"" is very strict in SO. ChatGPT doesn't complain. So SO doesn't get to complain that it's shitty culture led to its own demise. I say this as top 10% contributor this month on SO",6,2023-01-23 18:32:09
6,5,4,_cobaltinferno_,1,57,None,0,">There are no stupid questions. We all start somewhere.

Although the sentiment sounds nice, there are definitely stupid questions. Also, by stupid questions, I don't mean ""beginner questions.""",2,2023-01-23 20:44:08
7,3,3,hega72,333,3538,None,0,That’s true. But who decides if a question is good or not ? I don’t ask stupid questions to annoy people - but because I don’t know better,2,2023-01-23 18:28:46
8,7,4,_cobaltinferno_,1,57,None,0,"I didn't intend for ""stupid questions"" to get interpreted as ""beginner questions,"" so I should have worded it better.

I mean stupid questions as in questions that are lacking a good explanation of what the OP had tried, and/or questions that makes it seem like the OP thinks they should just be told the answer without any work.",1,2023-01-23 20:46:48
9,8,5,hega72,333,3538,None,0,Well. Chatgpt answers even those questions without complaining.,2,2023-01-24 07:21:12
10,9,6,with_the_choir,57,10866,None,0,"But no it doesn't?  I mean, it replies politely enough, but it can't correctly answer a malformed question any better than a human can.

Sometimes it does well and says that it doesn't understand, and sometimes it doesn't do well and just confidently provides an answer, which is arguably worse.",2,2023-01-24 17:00:20
