Type,Content,Username,User Reputation,Upvotes,Is Moderator,Creation Date
Question,"A few days ago, OpenAI, the people that brought you GPT-3 and DALL-E, launched a new product called ChatGPT. It can answer questions so accurately that it's legitimately scary. Even the most obscure topics known to man are answered swiftly by this bot. It's not 100% accurate, but it's shockingly accurate for an AI. To explain how accurate it is, someone posted on Twitter that they managed to take an SAT test with the bot and received a 1020, which is above the 50% percentile of all its test takers. People are calling this automated system as something that's better than Google.
My question is, could this be a way to accurately answer questions that are on any of the Stack Exchange sites? I entered a question from Stack Overflow relating to the NumPy Python module and it gave a pretty convincing response. The responses are professional, probably even better than similar sites such as Quora where the responses vary in quality.
Would a bot such as this one change the future of question and answer sites?
",Larsenv,167,-25,0,2022-12-04 04:14:16 UTC
Comment on Question,"@NathanielFord, the difference is that a human test-taker doesn't have instantaneous access to millions of online documents.",WGroleau,1287,0,0,2023-06-12 16:50:33 UTC
Comment on Question,"@einpoklum not just give number, give access to your phone aka sell your soul to soul-less being. ;)",Shadow Wizzard,176476,0,0,2022-12-14 12:17:44 UTC
Comment on Question,"I was going to be smart and ask ChatGPT this exact question to see what it says, but then I noticed you have to give them your phone number in order to ask it anything, so I gave it up.",einpoklum,26954,3,0,2022-12-12 22:50:24 UTC
Comment on Question,The fact that it can score a 1020 on the SAT is perhaps an indictment of the SAT rather than an accolade for ChatGPT...,Nathaniel Ford,1558,4,0,2022-12-08 21:57:59 UTC
Comment on Question,"Request for clarity: When you say ""could this be a way to accurately answer questions that are on any of the Stack Exchange sites?"", do you mean to answer the question here, actually on this site (Stack Exchange)? Or do you mean that the question could be asked not here (not on Stack Exchange), and answered not here (not on Stack Exchange)? That's an important detail.",starball,30457,1,0,2022-12-07 21:09:57 UTC
Comment on Question,It could reduce the number of debugging questions.,This_is_NOT_a_forum,6646,0,0,2022-12-05 19:22:33 UTC
Comment on Question,It was also tried on Wikipedia.,This_is_NOT_a_forum,6646,0,0,2022-12-04 13:52:26 UTC
Comment on Question,What is a SAT test? The US college admission test?,This_is_NOT_a_forum,6646,1,0,2022-12-04 13:06:08 UTC
Comment on Question,"@JitendraSingh very big no. Smoke Detector has no AI at all, it got totally nothing to do with this.",Shadow Wizzard,176476,12,0,2022-12-04 10:17:47 UTC
Comment on Question,"Needs detail/clarity: ""My question is, could this be a way to accurately answer questions that are on any of the Stack Exchange sites"". Do you mean any question / all questions? Or just good actually answerable questions?",starball,30457,2,0,2022-12-04 07:48:06 UTC
