Type,Content,Username,User Reputation,Upvotes,Is Moderator,Creation Date
Question,"I was wondering whether the traffic of Stack Exchange sites went down since the open access to ChatGPT. There is so much gossip in terms of ""Will programmers be unnecessary with ChatGPT? Will coding tutors be unnecessary with ChatGPT?"". You know the deal...
Although I do not believe all that stuff and already have a manifest opinion, I think it would be a very fine survey of Stack Exchange to do!
",Tarquinius,1007,72,0,2023-03-07 13:24:00 UTC
Comment on Question,"It's also not clear if >25k reputation users on SO could maybe add historical data and graphs, because Des Darilek writes ""After upgrading to GA4, we didn’t update or add context to an analytics page on our site..."" which sounds not clear to me, what it actually implies. Can >25k SO users see the real traffic or not?",NoDataDumpNoContribution,17244,0,0,2023-08-11 11:37:42 UTC
Comment on Question,"@Stuckat1337 Interesting blog article, unfortunately without any graphs. They mostly concentrate on traffic (and older, popular questions should create most of the traffic) and report on average a 5% decline this year with a larger decline of 14% in April. The traffic estimation is based on anonymized traffic modeling in Google Analytics. The traffic may also be influenced by changes in search engine algorithms. The typical scale of fluctuations and historical data for comparison and context are missing.",NoDataDumpNoContribution,17244,0,0,2023-08-11 11:34:56 UTC
Comment on Question,for SO - arxiv.org/pdf/2307.07367.pdf,MT1,734,0,0,2023-08-10 06:12:35 UTC
Comment on Question,stackoverflow.blog/2023/08/08/…,Stuck at 1337,278,4,0,2023-08-09 00:03:26 UTC
Comment on Question,"@JourneymanGeekOnStrike I wouldn't interpret too much into it. Eternal growth is impossible, but a single month of decline could still be an exception or a seasonal effect for example. Maybe some of the novelty effect has worn off but on the other hand who knows what is yet to come. On the other hand for the stackexchanges there are stable trends over many months and years. For ChatGPT and other AIs we probably have to wait longer to estimate when they may saturate.",NoDataDumpNoContribution,17244,1,0,2023-07-20 20:36:13 UTC
Comment on Question,"Interestingly, chatgpt and other Gen AI sites seem to have experienced a loss in traffic",Journeyman Geek,195964,1,0,2023-07-10 02:12:18 UTC
Comment on Question,"@Trilarion: congratulations, you got lucky! The model is very sophisticated, and for many sets of problems that model contains enough 'code text' knowledge to produce something that works. However, that's not a given. Don't let one working example lure you into thinking that it'll be accurate the next time.",Martijn Pieters,101986,2,0,2023-06-08 17:41:01 UTC
Comment on Question,"@MartijnPieters ""...just a statistical language model and has no actual expertise, whatsoever, in technical subjects..."" Just last week I tried it again and it helped me. I asked it to fit a circle to a 2D cloud of points in Python using common libraries et voila the answer was right. Of course I checked it to be sure. I also liked the layout of the answer, well explained with nice code examples. All parentheses were balanced. My conclusion is that even though statistics may not include actual expertise it can come pretty close sometimes. Of course that's only one example.",NoDataDumpNoContribution,17244,4,0,2023-05-25 06:31:47 UTC
Comment on Question,"@Trilarion I'd guess combination of both, yes.",Shadow Wizzard,176476,0,0,2023-05-24 21:21:23 UTC
Comment on Question,@ShadowTheSpringWizard It looks as if now there is beginning to be enough time to have meaningful data to answer this question. Have you looked at the data in starball's answer? It looks as if the impact of ChatGPT is quite big. That or people have given up on mass Q&A or programming in 2023.,NoDataDumpNoContribution,17244,1,0,2023-05-24 21:19:13 UTC
Comment on Question,"For the sites I moderate, there appears to be no correlation or distinct drop in traffic from when ChatGPT was released. This doesn't surprise me as it is not useful in any of the disciplines on those sites.",Rory Alsop,18426,3,0,2023-03-07 18:01:03 UTC
Comment on Question,"Given that ChatGPT is just a statistical language model and has no actual expertise, whatsoever, in technical subjects, we will absolutely not be forcing anyone to read the answers it generates. Just because it sounds confident doesn't mean it is correct. In fact, most of the time it is dead rubbish at getting it right.",Martijn Pieters,101986,29,0,2023-03-07 16:51:15 UTC
Comment on Question,@JourneymanGeek: ChatGPT was released 30 November 2022.,Martijn Pieters,101986,4,0,2023-03-07 16:49:14 UTC
Comment on Question,"My thoughts echo Shadow's: I don't think the part regarding whether or not Stack Exchange should employ its own form of CGPT is central to your question, and I would personally edit it out. The rest of your question is perfectly valid and, to be honest, is quite interesting to investigate.",Spevacus,30620,3,1,2023-03-07 16:46:32 UTC
Comment on Question,"This is the correct place to ask, but 1) still not enough time to have meaningful data, and 2) don't involve non relevant things, e.g. the Stack Exchange own ChatGPT part. If you have another question, create a new question.",Shadow Wizzard,176476,2,0,2023-03-07 15:29:01 UTC
Comment on Question,In the short term it likely went up as people posted nonsense answers from chatGPT which all needed to be deleted.,Robert Longson,36697,34,0,2023-03-07 13:34:08 UTC
Comment on Question,hm. Assuming people help pull the data - from when would that be?,Journeyman Geek,195964,2,0,2023-03-07 13:33:45 UTC
Answer,"Query & Visualization of Total User Votes Per Month Since 2009 as a Metric for Observing User Activity Trends using Stack Exchange Data Explorer (SEDE)
Similar to starball's answer, here is another perspective of insight into user activity trends (specifically on Stack Overflow) using SEDE, looking at the sum of user votes across all questions binned by month per year. In the graph that results from the query, the x-axis refers to the number of months since New Year's Day 2024; the data goes back roughly to -180, corresponding to 15 years ago (i.e., 2009).

Annotations added to figure using Adobe Photoshop.
Of course, this gives no specific insight into ChatGPT. But for whatever reasons, there appears to be an ongoing precipitous decline in user activity that began in 2020 and significantly worsened in 2023.
Appendix
Here is the SEDE SQL query (which, by the way, was almost entirely generated from a short conversation with ChatGPT 🤷🏻‍♂️):
WITH MonthlyVotes AS (
    SELECT
        YEAR(v.CreationDate) AS YearValue,
        MONTH(v.CreationDate) AS MonthValue,
        SUM(CASE WHEN v.VoteTypeId = 2 THEN 1 ELSE 0 END) AS Upvotes,
        SUM(CASE WHEN v.VoteTypeId = 3 THEN 1 ELSE 0 END) AS Downvotes
    FROM
        Votes v
        JOIN Posts ON v.PostId = Posts.Id
        JOIN PostTags ON Posts.Id = PostTags.PostId
        JOIN Tags ON PostTags.TagId = Tags.Id
    --WHERE
    --    Tags.TagName LIKE '%##TagName##%'
    GROUP BY
        YEAR(v.CreationDate),
        MONTH(v.CreationDate)
)

SELECT
    --(YearValue * 100) + MonthValue AS YearMonthNumeric,
    (YearValue - YEAR(GETDATE())) * 12 + MonthValue AS YearMonthNumeric,
    Upvotes,
    Downvotes
FROM
    MonthlyVotes
ORDER BY
    YearValue DESC,
    MonthValue DESC;

",John Collins,261,16,0,2024-03-22 00:23:59 UTC
Comment on Answer,@DanMašek Maybe all the curators downvoting all the ChatGPT posts themselves.,CPlus,5314,1,0,2024-03-22 16:00:13 UTC
Comment on Answer,"@user16217248 Likely different demographics. I'd expect the downvotes to come mostly from curators, who are probably less likely to be affected by the hype.",Dan Mašek,1022,1,0,2024-03-22 11:26:22 UTC
Comment on Answer,"Upvotes went down a lot, but downvotes stayed more or less the same.",CPlus,5314,1,0,2024-03-22 04:11:21 UTC
