Type,Content,Username,User Reputation,Upvotes,Is Moderator,Creation Date
Question,"I entered this question. And in writing it out it helped me clarify what I think is the solution. So I asked ChatGPT and it agreed with my approach and provided me complete code for the solution.
This answer from ChatGPT, if entered by a human, I would accept. I am implementing this answer in my code. In addition, I'm guessing this won't be answered in SO because the number of people answering EF questions is relatively small.
So under the present rules do I leave it unanswered? Do I give the ChatGPT answer? Do I tell someone what to ask ChatGPT to get the answer?
I'm not going to post what ChatGPT answered and pretend I figured it out - that is violating the no-ChatGPT rule. Any effort I see to post the answer I have, including the suggestions in the comments, in my opinion, require either I lie or plagiarize (or both). I choose to not answer if those are my options. After all, I don't need the answer.
Update:
I posted the approach I think SO should take over in MSDN (example here). I'll do this in MSDN going forward as it's allowed there. But I think SO is poorer for not allowing entries like this.
",David Thielen,32966,0,0,2023-03-25 20:51:48
Comment on Question,"I agree with this, but unfortunately the users & moderators that manage this plaform do not agree. A working answer of mine to my own question that featured some ChatGPT code was deleted 3 times by moderators, quite insane really: stackoverflow.com/questions/48119360/…. And here also some further experiences of mine in relation to ChatGPT: meta.stackexchange.com/questions/387575/….",Tom Wenseleers,8009,1,0,2023-07-24 09:51:54
Comment on Question,"@zcoop98 The OP (me) declines to plagiarize. ChatGPT answered the question so well and so fully, any changing it into my words would have been blatant plagiarism.",David Thielen,32966,1,0,2023-04-01 18:10:36
Comment on Question,"@zcoop98 providing an answer in your own words has never actually been banned. OP seems to stick to this premise for an unknown reason. Posting the generated content was banned. Not only is banning ChatGPT as the source of an idea never been banned, such a ban is unenforceable. It requires literal mind reading to enforce. Which does not exist.",VLAZ,29086,1,0,2023-04-01 10:46:27
Comment on Question,"The affinity to throw out (presumably) a good, helpful answer simply because it came from a source that is disliked is astounding and intrinsically counter-productive to the site's mission of curating a library of useful content. I am 100% on board with stemming the tide of crap content from any content generator, AI or no– but once we start considering quality answers as garbage simply because of their source, we have crossed the line into madness, in my opinion. The goal of the ban was to get generated content to be curated, not to throw out helpful content. This outcome is absurd.",zcoop98,3087,2,0,2023-03-29 16:14:22
Comment on Question,@VLAZ doesn't mean one has to waste human time.,Franck Dernoncourt,83327,2,0,2023-03-28 04:55:33
Comment on Question,@FranckDernoncourt SO was never a place where we strived to minimise the time it takes to write an answer to a question.,VLAZ,29086,1,0,2023-03-28 04:34:09
Comment on Question,"@KevinB I'm happy to put in the time to write a full answer with a clear explanation. I'd like to do so to help others that hit the same problem. Unfortunately the solution, along with the explanation, came from ChatGPT.",David Thielen,32966,3,0,2023-03-27 23:05:26
Comment on Question,"@KevinB Then you can add an answer saying yes to the OP's question ""If ChatGPT gives me an answer, should I leave my question unanswered?""",Franck Dernoncourt,83327,0,0,2023-03-27 22:49:51
Comment on Question,"@FranckDernoncourt no one's forcing anyone to write an answer. If you don't wish to put in the time, don't do it.",Kevin B,95047,4,0,2023-03-27 22:09:27
Comment on Question,"@VLAZ ""express the answer in your own words"" sounds like a waste of human time.",Franck Dernoncourt,83327,2,0,2023-03-27 21:49:02
Comment on Question,"""If I ask ChatGPT what is 2 + 2 and it replies 4, there's really not much for me to add to that"" I still don't see how you're unable to express the answer in your own words. Or do you believe that any information that ChatGPT can generate should not be posted. Which seems rather uselessly dogmatic.",VLAZ,29086,1,0,2023-03-27 14:19:08
Comment on Question,"@FranckDernoncourt Since the OP did give an example and referred to it multiple times – yeah, I think it does matter. After all, that is what ""my question"" is here. I would hate to see advice that amounts to ""yes, answer the question using ban-satisfying-approach-X"" but that is absolutely not what should happen for the example. Now if most such questions fall into the latter category, that would also affect the general advice, IMO. After all, that is why the ban exists: Because there was too much bad content to be outweight by the few pearls.",MisterMiyagi,51989,3,0,2023-03-27 13:40:37
Comment on Question,"@MisterMiyagi the question is ""If ChatGPT gives me an answer, should I leave my question unanswered?"".  The example question that the OP gave doesn't matter.",Franck Dernoncourt,83327,1,0,2023-03-27 12:40:47
Comment on Question,"Why exactly are we discussing this based on a question that clearly lacks focus? It shouldn’t be answered, it should be closed.  That ChatGPT is good for questions that aren’t a good fit for SO is somewhat meaningless.",MisterMiyagi,51989,4,0,2023-03-27 09:06:19
Comment on Question,"@DavidThielen okay, but that is not a question that should go on Stack Overflow so no harm done there. And that would be my take on it. If ChatGPT CAN answer the question... I kind of doubt it was a good question for Stack Overflow. It is either off-topic, or already answered.",Gimby,5283,5,0,2023-03-27 08:34:40
