Type,Content,Username,User Reputation,Upvotes,Is Moderator,Creation Date
Question,"
Moderator Note: This post has been locked to prevent comments because people have been using them for protracted debate and discussion (we've deleted over 300 comments on this post alone, not even including its answers).
The comment lock is not meant to suppress discussion or prevent users from expressing their opinions. You are (as always) encouraged to vote on this post to express your agreement/disagreement. If you want to discuss this policy further, or suggest other related changes, please Ask a New Question and use the ai-generated-content tag.

All use of generative AI (e.g., ChatGPT1 and other LLMs) is banned when posting content on Stack Overflow.
This includes ""asking"" the question to an AI generator then copy-pasting its output as well as using an AI generator to ""reword"" your answers.
Please see the Help Center article: What is this site’s policy on content generated by generative artificial intelligence tools?
Overall, because the average rate of getting correct answers from ChatGPT and other generative AI technologies is too low, the posting of content created by ChatGPT and other generative AI technologies is substantially harmful to the site and to users who are asking questions and looking for correct answers.
The primary problem is that while the answers which ChatGPT and other generative AI technologies produce have a high rate of being incorrect, they typically look like the answers might be good and the answers are very easy to produce. There are also many people trying out ChatGPT and other generative AI technologies to create answers, without the expertise or willingness to verify that the answer is correct prior to posting. Because such answers are so easy to produce, a large number of people are posting a lot of answers. The volume of these answers (thousands) and the fact that the answers often require a detailed read by someone with significant subject matter expertise in order to determine that the answer is actually bad has effectively swamped our volunteer-based quality curation infrastructure.
As such, we need to reduce the volume of these posts and we need to be able to deal with the ones which are posted quickly, which means dealing with users, rather than individual posts.
So, the use of ChatGPT or other generative AI technologies to create posts or other content here on Stack Overflow is not permitted. If a user is believed to have used ChatGPT or other generative AI technologies after the posting of this policy, sanctions will be imposed to prevent them from continuing to post such content, even if the posts would otherwise be acceptable.
NOTE: While the above text focuses on answers, because that's where we're experiencing the largest volume of such content, the ban applies to all content on Stack Overflow, except each user's profile content (e.g., your ""About me"" text).

Historical context of this ban originally being ""temporary""
When this ban was originally posted on 2022-12-05, it was explicitly stated as a ""Temporary policy"". It was specifically ""temporary"", because it was, at that time, a policy which was being imposed by the subset of moderators who were present on the site over the weekend after the announcement of ChatGPT's public release, 2022-11-30, through the Monday, 2022-12-05, when this question was posted. The moderators involved strongly felt that we didn't have the right to impose a permanent policy in this manner upon the site, but did have a responsibility to impose a temporary policy that was necessary in order for the site to remain functioning while discussion was had, consensus reached, and also allowed Stack Overflow, the company, time to have internal discussions to see what policies they would adopt network wide. So, after consultation with the company, the moderators present at that time chose to implement this as a ""temporary"" policy.
Since then, quite a lot has happened. Based on the voting for this question, it's clear that there's an overwhelming consensus for this policy. The company has chosen that the specific policy on AI-generated content will be up to individual sites (list of per-site policies), but that even on sites which permit AI-generated content, such AI-generated content is considered ""not your own work"" and must follow the referencing requirements. The requirement for following the referencing requirements was, later, put into the Code of Conduct: Inauthentic usage policy. There's a lot more that's gone on with respect to AI-generated content. So much has happened such that it's not reasonable to try to summarize all of it here.

1. ChatGPT is an Artificial Intelligence based chat bot by OpenAI, which was announced on 2022-11-30. Use of ChatGPT is currently available to the public without monetary payment.
",Makyen,33356,4992,1,2022-12-05 05:34:36
Comment on Question,"Comments have been moved to chat; please do not continue the discussion here. Before posting a comment below this one, please review the purposes of comments. Comments that do not request clarification or suggest improvements usually belong as an answer, or in Stack Overflow Chat. Comments continuing discussion may be removed.",Samuel Liew,79073,1,0,2023-02-26 07:28:29
Answer,"It's 2024. I visited 3 pages of answers. None contains the buzzword ""copyright"".
I'm just trying to contribute in the first message of this thread, to try to add a mention that this is not ""just"" a community policy about being precise or not; the ban reasons should also stress more about being a needed moral and legal proactive measure, to avoid additional plagiarisms and copyright infringements.

LLMs causes extra Copyright and Credit Nightmares
Popular large language models are like Pandora's pots, trained over millions and millions of obscure copyrighted materials, and this can surely cause extra potential copyright violations and plagiarism that can be tricky to be proactively identified, to assure long life to the Stack Exchange network, distant from boring extra lawsuits and extra mass ""content takedown"" requests.
Because LLMs Do Not Give Authorship Credits
Even taking copyright apart; popular LLMs do not mention the author, so they do not respect moral rights, and they do not fulfill our sane referencing standards.
https://meta.stackexchange.com/help/referencing
...for Technical Reasons
No known popular large language model was currently designed to give you the original sources. A ""generic human"" can tell you who taught to sum 1 plus 1: they can find their early Math school book and find out which page of that book says so. LLMs, instead, are trained differently, and cannot just give references in the expected way.
Some advanced LLMs acts like are able to give you references, but if you pay attention, even these are ""just"" capable to share ""further information"", and only after whatever text is generated (e.g. Microsoft Copilot, ...).
...for Political Reasons
Moreover, popular LLMs usually do not even share the original dataset on their website (and this is a political issue, not a technical issue; as the dataset can be shared in whatever moment, especially from organizations that have ""Open"" and ""AI"" in their official name).
Indeed this practice of closing the dataset does not simplify the backward work of finding the right credit to a generated text.
Because we are supposed to release in CC BY-SA 4.0
Premising that, as I hope everyone already noted, in every single page of the Stack Exchange Network, there is this phrase at the footer of the website:

Site design / logo © 2024 Stack Exchange Inc; user contributions licensed under CC BY-SA.

Please take 60 seconds to read this page, if it's your first time:
https://stackoverflow.com/help/licensing
It just means that new contents must be covered by these terms:
https://creativecommons.org/licenses/by-sa/4.0/
(Again please take additional 60 seconds to read this ↑)
Also note that there is not any ""unless otherwise noted"" in the above SE copyright terms.
TL;DR
Both the Stack Exchange Inc. and the SE community have probably no sufficient time to fight this additional copyright risk, and moral risks, of giving no sufficient credits to original content authors.
The potentially high benefits do not outweigh the potentially very very very high risks, especially without enforcing an extra care and awareness.
Next Steps?

SE policy lacks an ""unless otherwise noted""

At the moment the copyright terms of SE does not mention the phrase ""unless otherwise noted"". That phrase is quite useful, since our planet has billions of contents under thousands of licenses, and very often answers are like ""«bla bla bla» very long snippet citation1 citation2 citation3"" and indeed this kind of answers are not content under CC BY-SA 4.0, but are instead contents released under the terms of the upstream copyright holder. Usually, official code snippets are pasted here on Stack Overflow as answer but just as mention, to quickly find that upstream documentation. So indeed, with or without AI-generated contents, a global ""unless otherwise noted"" would probably help in quoting external contents (ChatGPT included I guess...).


Evaluate ""fair use"" policies

If you know what you are doing, small use of proprietary sources can be used even if they are ""all rights reserved"". But, you must clarify that the content is not yours, and you should clarify the reasons why you believe that the content can be shared in ""fair use"". Note that the Wikipedia community has interesting ""fair use"" policies. Instead the community of Wikimedia Commons does not generally include contents in fair use. But clarifying such policy in our website may be necessary, sooner or later, with ad without AI; and with and without AI contents that are assumed under ""all rights reserved"" as default.


Evaluate big disclaimers about AI-generated contents

Basically stuff like https://commons.wikimedia.org/wiki/Template:PD-algorithm that it's currently embedded in some multimedia files, to say that «This file is in the public domain because it is the work of a computer algorithm or artificial intelligence and does not contain sufficient human authorship to support a copyright claim. The United Kingdom and Hong Kong provide a limited term of copyright protection for computer-generated works of 50 years from creation. 1 2».



So, I think the current ban is OK. Before even discussing a re-activation, we should at least afford the above points, to improve the legal safe space for editors but also readers, and use this kind of tools in a legal way.
",Valerio Bozz,1516,-7,0,2024-06-20 22:22:48
Comment on Answer,"Of course, LLM text itself may contain plagiarised text, but it's legally complicated because that text might be a verbatim copy, but it may have just been generated pseudorandomly from token sequence probabilities that the LLM has learned from its training data. That process is similar to the human learning process, but courts don't yet know how they want to deal with it.",PM 2Ring,55489,0,0,2025-02-20 06:49:40
Comment on Answer,"FWIW, on Physics.SE, we do permit some GenAI content, but unattributed GenAI content is deleted on the grounds of plagiarism. See physics.meta.stackexchange.com/questions/14281/… & physics.meta.stackexchange.com/q/14801/123208",PM 2Ring,55489,0,0,2025-02-20 06:44:24
Comment on Answer,"We do take plagiarism seriously on this network. I have flagged numerous posts on various sites for plagiarism, and SO even has a dedicated plagiarism flag. However, plagiarism isn't always easy to detect or to verify, and there are plenty of posts containing plagiarised text or images.",PM 2Ring,55489,0,0,2025-02-20 06:40:21
Comment on Answer,"Thanks for the section Ownership of content. So (also to stay focused on the original answer) I see just additional high risks of violating someone else copyrights, and also violating their moral rights anyway, by design. (It's nice that OpenAI gives their rights to the user, but the credits are surely not to be given to that user, since that user is not the source of the information)",Valerio Bozz,1516,0,0,2024-06-26 13:56:19
Comment on Answer,"@ValerioBozz ""premising that all footers of their websites have 'OpenAI ©'"" They don't; in fact, I cannot find any page on chatgpt.com that does (though I don't think this is relevant under US law, at least). ""without further indications mentioning the word 'copyright'"" The terms specifically say ""We hereby assign to you all our right, title, and interest, if any, in and to Output."", and ""all our right"" is broader than just ""copyright"".",Ryan M,20167,1,1,2024-06-26 09:43:28
Comment on Answer,"@RyanM Premising that the default copyright for general worldwide creative creations is en.wikipedia.org/wiki/All_rights_reserved and premising that all footers of their websites have ""OpenAI ©"" without further indications mentioning the word ""copyright"" and premising that the material with which they feed their LLM is not theirs (much of which is indeed all rights reserved; and they cannot remove these materials as they clarified in multiple occasions), it is not crazy to assume that our worldwide legal framework is just not ready to adopt that LLM without additional copyright risks..",Valerio Bozz,1516,0,0,2024-06-26 09:36:38
Comment on Answer,"@ValerioBozz What do you mean by ""about ChatGPT, it's all rights reserved""?",Ryan M,20167,0,1,2024-06-26 08:33:13
