Type,Content,Username,User Reputation,Upvotes,Is Moderator,Creation Date
Question,"I've been observing the changes of Stack Overflow and generative AIs like ChatGPT and Bard.
I think that when it comes to things with different ""versions"", generative AIs might have a difficulty adapting to newer versions. When it comes to programming questions relating to relatively new versions, it would be best to ask on Stack Overflow.
Real experience
I was trying to figure out things about Laravel Livewire. So I tried to ask questions on generative AIs too.
The AI responded with solutions for Laravel Livewire v2.* even though at that time the current version of Laravel Livewire is already v3.*.
Stack Overflow is way better when it comes to newer versions.
To be honest, the response of the AI was blazingly fast and really works for the older version though.
My suggestion is that Stack Overflow should deviate from that aspect of what generative AIs can do, and maybe SO should focus more on new directions and features that can greatly help many users.
How about you? What are still the best use cases of Stack Overflow in today's generative AI era? For me, Stack Overflow is still best for questions about new versions of stuff (prog lang, package/library).
I'm encouraging everyone to bring your actual experiences these days. That's just what this post is all about.
Don't get me wrong: This is not about AI. This post is intended to help Stack Overflow prosper in this ever-changing landscape of online Q&As. We have to face it as concerned users.
",Abel Callejo,14939,-26,0,2024-01-18 04:46:14
Comment on Question,"@AbelCallejo ""Survival of the fittest?"" SO has absolutely no chance of being the fittest w.r.t. AI. Null, zero, nada. Putting chips on AI, or even worse in AI strenghts without AI (the magical more responsive, more tailored, faster, yada yada answer style that crop up in these discussions) is a sure way to die a fast and pointless death. The core concept of SO - curated, general Q&A - to the contrary is something it actually can compete in. But if that isn’t needed anymore and it dies a slow death - why should users be concerned about that?",MisterMiyagi,51989,2,0,2024-01-20 06:18:05
Comment on Question,"@Tom I don't think that's the one I am pointing out. I also don't think that AIs are better than users from SO. Just so I would be clear, we saw an above average traffic decrease in SO (~14%) in April 2023. AIs respond faster than SO users. I also don't think that SO questions are about logical issues. Majority of the questions seems like just very simple ones. Maybe start reading with the link and its comments. I didn't say about dumbing down, I said focus more on new directions and features.",Abel Callejo,14939,1,0,2024-01-20 05:43:37
Comment on Question,"@AbelCallejo Survival of the fittest with an AI that can't even handle the most simple logical issues? Actually funny. If it can handle all your simple tasks, fine, have fun with it, but SO doesn't need to dumb down just to ""ride the waters"".",Tom,17587,2,0,2024-01-20 04:22:24
Comment on Question,"Side note: You don't generally evolve after something. It's not like, ""Honey, let's breed superior hunters!"" That's not evolution anymore. That's selective breeding. Evolution is more throwing <expletive deleted> at the wall and seeing what sticks. If you're chasing something, you're potentially missing out on other possibilities.",user4581301,33952,1,0,2024-01-20 00:21:14
Comment on Question,"Is AI going anywhere? Yes. That's my biggest problem. We're in a transitional period. AI sucks right now. It's more impressive than the masses expected, but it's not the transformative tool that it will be. Right now we're just seeing glimmers of what AI will be in another few years. Get in, but be damn sure you can migrate before the next wave of disruption hits, be that new technologies or laws regulating its use.",user4581301,33952,3,0,2024-01-20 00:16:50
Comment on Question,"True-ish. If you evolve too far in one direction, you die when conditions change even slightly. Evolution is a bastard. You don't want to be the last person investing heavily in Disco, but you also don't want to be in early and out too late.",user4581301,33952,0,0,2024-01-20 00:06:59
Comment on Question,"@Tom Yes, SO must follow the trend to stay relevant. There is a theory for that. ""Evolution"". You know right? Survival of the fittest? It doesn't have to be every current trend. At least adapt enough to ride the waters. Also I'm not the only one ringing the bell here. A lot of users. I'm just one of the concerned. That is why I'm trying to open up a conversation of how SO users are currently using SO because it is clearly not the same as during the pre-AI era anymore.",Abel Callejo,14939,0,0,2024-01-19 23:17:01
Comment on Question,"And once we have that down, the nature of a career in programming will be fundamentally different",user4581301,33952,2,0,2024-01-19 20:09:14
Comment on Question,"Garbage torrent or no, if an question can be answered with AI, does it really need to be here? At this point in AI, they're just cloning and aggregating existing stuff. If it clones Stack Overflow questions, then the question must be a duplicate. If it has to aggregate answers, the question needs focus. In the future we'll have Language models that actually model programming languages, and I expect that will ramp up the quality of generated code, but we'll still need to work on correctly implementing behaviour.",user4581301,33952,7,0,2024-01-19 20:09:10
Comment on Question,"You're beating a dead horse, Preventing an unmanageable tidal wave of easy to generate and hard to curate garbage has nothing to with ""repelling innovation"" (and blaming us for that is hardly original anymore). People that actively curate the site are painfully aware of how the current model cannot scale even without those BS generators. Although I see how someone who managed to cast total of 9 downvotes in 12 years might not see that issue.",Dan Mašek,19041,9,0,2024-01-19 16:59:45
Comment on Question,"Yet another ""SO must follow every current trend, because I say so"" thread. The fact that AI exists doesn't need to be important for SO. When people want to use AI, it's their decision and doesn't concern anyone else.",Tom,17587,3,0,2024-01-19 16:57:00
Comment on Question,"As I read the whole convo, I feel like SO is currently having a civil war. Anti-AI vs Pro-AI. I think the pro-AIs got easily overwhelmed with the hi-tech capabilities while the Anti-AIs were trying to repel innovation. Yes, this question is that kind of thread. The only difference is asking what and how could SO move forward. Knowing that many SO users have been using generative AIs more now than just 100% SO back then.",Abel Callejo,14939,1,0,2024-01-19 14:50:02
Comment on Question,Sure. Though I would proceed with caution. The author of that question was very... agenda driven.,General Grievance,5023,0,0,2024-01-19 14:30:02
Comment on Question,@GeneralGrievance Thank you for pointing to that link. I haven't read that yet. Still reading the whole convo...,Abel Callejo,14939,0,0,2024-01-19 14:27:51
Comment on Question,Isn't this kind of this question again?,General Grievance,5023,1,0,2024-01-19 13:43:41
Comment on Question,"""I refer as a hostile environment of SO is the way people"" What's rude & hostile is to ignorantly presume.",philipxy,15158,3,0,2024-01-19 07:47:23
Comment on Question,"“I care about StackOverflow, but I think a community like this kind of hostile environment has no room for the future.” - Ok? Were hostile because we don’t think a question as broad as you asked is helpful nor would a discussion about LLM be helpful. Your question isn’t even about Stack Overflow. Your question is about the uses for Stack Overflow? Decade old profile, hundreds of contributions, and thousands of reputation and it doesn’t appear you understand the rules of the community.",Security Hound,2548,14,0,2024-01-18 13:50:03
Comment on Question,"It's about ""AI"". Zero chance to be received well, people are tired of the subject at this point. In any case, I don't use either. I'm certainly not going to converse with some stupid chatbot, I am perfectly capable of working problems out on my own using my experience, skill and knowledge. Experience young developers are going to have trouble building up when they outsource everything and have little reason to retain knowledge. I don't ""use"" Stack Overflow; I use Google. Stack Overflow happens to be in the top 5 search results usually; that's the purpose of the thing. Not to ask questions.",Gimby,5283,20,0,2024-01-18 10:06:50
Comment on Question,Your comments don't address the issues in my comment & I don't know what you think is hostile in what I wrote or wrote about or in the feedback people have given.,philipxy,15158,11,0,2024-01-18 07:25:35
Comment on Question,This feels more appropriate for a collective Discussion on the main site (if there was an AI / LLM collective that is). It's not on-topic for Meta because it's not about Stack Overflow,Phil,164901,5,0,2024-01-18 06:56:54
